"","Year","GFDL.q100","GFDL.q500","CCSM.q100","CCSM.q500"
"40",2028,4751.10868118829,6182.96327143519,4750.22026891971,5693.25047000621
"41",2029,4783.38132233344,6228.58785644813,4799.41654404938,5752.89533824763
"42",2030,4815.6539634786,6274.21244146107,4848.61281917906,5812.54020648905
"43",2031,4847.92660462376,6319.83702647401,4897.80909430873,5872.18507473047
"44",2032,4880.19924576891,6365.46161148694,4947.0053694384,5931.82994297188
"45",2033,4912.47188691407,6411.08619649988,4996.20164456808,5991.4748112133
"46",2034,4944.74452805923,6456.71078151282,5045.39791969775,6051.11967945472
"47",2035,4977.01716920439,6502.33536652576,5094.59419482743,6110.76454769614
"48",2036,5009.28981034954,6547.9599515387,5143.7904699571,6170.40941593756
"49",2037,5041.5624514947,6593.58453655163,5192.98674508677,6230.05428417897
"50",2038,5073.83509263986,6639.20912156457,5242.18302021645,6289.69915242039
"51",2039,5106.10773378501,6684.83370657751,5291.37929534612,6349.34402066181
"52",2040,5138.38037493017,6730.45829159045,5340.57557047579,6408.98888890323
"53",2041,5170.65301607533,6776.08287660339,5389.77184560547,6468.63375714465
"54",2042,5202.92565722049,6821.70746161632,5438.96812073514,6528.27862538606
"55",2043,5235.19829836564,6867.33204662926,5488.16439586481,6587.92349362748
"56",2044,5267.4709395108,6912.9566316422,5537.36067099449,6647.5683618689
"57",2045,5299.74358065596,6958.58121665514,5586.55694612416,6707.21323011032
"58",2046,5332.01622180111,7004.20580166808,5635.75322125384,6766.85809835173
"59",2047,5364.28886294627,7049.83038668101,5684.94949638351,6826.50296659315
"60",2048,5396.56150409143,7095.45497169395,5734.14577151318,6886.14783483457
"61",2049,5428.83414523659,7141.07955670689,5783.34204664286,6945.79270307599
"62",2050,5461.10678638174,7186.70414171983,5832.53832177253,7005.43757131741
"63",2051,5493.3794275269,7232.32872673277,5881.7345969022,7065.08243955883
"64",2052,5525.65206867206,7277.9533117457,5930.93087203188,7124.72730780024
"65",2053,5557.92470981721,7323.57789675864,5980.12714716155,7184.37217604166
"66",2054,5590.19735096237,7369.20248177158,6029.32342229123,7244.01704428308
"67",2055,5622.46999210753,7414.82706678452,6078.5196974209,7303.6619125245
"68",2056,5654.74263325269,7460.45165179746,6127.71597255057,7363.30678076592
"69",2057,5687.01527439784,7506.0762368104,6176.91224768025,7422.95164900733
"70",2058,5719.287915543,7551.70082182333,6226.10852280992,7482.59651724875
"71",2059,5751.56055668816,7597.32540683627,6275.30479793959,7542.24138549017
"72",2060,5783.83319783331,7642.94999184921,6324.50107306927,7601.88625373159
"73",2061,5816.10583897847,7688.57457686215,6373.69734819894,7661.531121973
"74",2062,5848.37848012363,7734.19916187508,6422.89362332861,7721.17599021442
"75",2063,5880.65112126879,7779.82374688802,6472.08989845829,7780.82085845584
"76",2064,5912.92376241394,7825.44833190096,6521.28617358796,7840.46572669726
"77",2065,5945.1964035591,7871.0729169139,6570.48244871764,7900.11059493868
"78",2066,5977.46904470426,7916.69750192684,6619.67872384731,7959.7554631801
"79",2067,6009.74168584941,7962.32208693978,6668.87499897698,8019.40033142151
"80",2068,6042.01432699457,8007.94667195271,6718.07127410666,8079.04519966293
"81",2069,6074.28696813973,8053.57125696565,6767.26754923633,8138.69006790435
"82",2070,6106.55960928489,8099.19584197859,6816.463824366,8198.33493614577
"83",2071,6138.83225043004,8144.82042699153,6865.66009949568,8257.97980438719
"84",2072,6171.1048915752,8190.44501200447,6914.85637462535,8317.6246726286
"85",2073,6203.37753272036,8236.0695970174,6964.05264975503,8377.26954087002
"86",2074,6235.65017386552,8281.69418203034,7013.2489248847,8436.91440911144
"87",2075,6267.92281501067,8327.31876704328,7062.44520001437,8496.55927735286
"88",2076,6300.19545615583,8372.94335205622,7111.64147514405,8556.20414559428
"89",2077,6332.46809730099,8418.56793706916,7160.83775027372,8615.84901383569
"90",2078,6364.74073844614,8464.19252208209,7210.03402540339,8675.49388207711
"91",2079,6397.0133795913,8509.81710709503,7259.23030053307,8735.13875031853
"92",2080,6429.28602073646,8555.44169210797,7308.42657566274,8794.78361855995
"93",2081,6461.55866188162,8601.06627712091,7357.62285079242,8854.42848680137
"94",2082,6493.83130302677,8646.69086213384,7406.81912592209,8914.07335504278
"95",2083,6526.10394417193,8692.31544714678,7456.01540105176,8973.7182232842
"96",2084,6558.37658531709,8737.94003215972,7505.21167618144,9033.36309152562
"97",2085,6590.64922646224,8783.56461717266,7554.40795131111,9093.00795976704
"98",2086,6622.9218676074,8829.1892021856,7603.60422644078,9152.65282800845
"99",2087,6655.19450875256,8874.81378719853,7652.80050157046,9212.29769624987
"100",2088,6687.46714989771,8920.43837221147,7701.99677670013,9271.94256449129
"101",2089,6719.73979104287,8966.06295722441,7751.1930518298,9331.58743273271
"102",2090,6752.01243218803,9011.68754223735,7800.38932695948,9391.23230097413
"103",2091,6784.28507333319,9057.31212725029,7849.58560208915,9450.87716921554
"104",2092,6816.55771447834,9102.93671226323,7898.78187721882,9510.52203745696
"105",2093,6848.8303556235,9148.56129727616,7947.9781523485,9570.16690569838
"106",2094,6881.10299676866,9194.1858822891,7997.17442747817,9629.8117739398
"107",2095,6913.37563791381,9239.81046730204,8046.37070260785,9689.45664218122
"108",2096,6945.64827905897,9285.43505231498,8095.56697773752,9749.10151042264
"109",2097,6977.92092020413,9331.05963732791,8144.76325286719,9808.74637866405
"110",2098,7010.19356134929,9376.68422234085,8193.95952799687,9868.39124690547
"111",2099,7042.46620249444,9422.30880735379,8243.15580312654,9928.03611514689
