"","Year","GFDL.q100","GFDL.q500","CCSM.q100","CCSM.q500"
"64",2052,5487.51147620608,7842.11767281931,7370.39131611517,10680.5968497743
"65",2053,5534.57172253536,7915.45283876395,7458.70552772552,10814.8451764948
"66",2054,5581.63196886464,7988.78800470858,7547.01973933586,10949.0935032153
"67",2055,5628.69221519392,8062.12317065322,7635.33395094621,11083.3418299358
"68",2056,5675.7524615232,8135.45833659785,7723.64816255655,11217.5901566563
"69",2057,5722.81270785248,8208.79350254249,7811.9623741669,11351.8384833769
"70",2058,5769.87295418175,8282.12866848712,7900.27658577724,11486.0868100974
"71",2059,5816.93320051103,8355.46383443176,7988.59079738759,11620.3351368179
"72",2060,5863.99344684031,8428.79900037639,8076.90500899794,11754.5834635384
"73",2061,5911.05369316959,8502.13416632103,8165.21922060828,11888.8317902589
"74",2062,5958.11393949887,8575.46933226566,8253.53343221862,12023.0801169794
"75",2063,6005.17418582815,8648.8044982103,8341.84764382897,12157.3284436999
"76",2064,6052.23443215743,8722.13966415494,8430.16185543932,12291.5767704204
"77",2065,6099.2946784867,8795.47483009957,8518.47606704966,12425.8250971409
"78",2066,6146.35492481598,8868.80999604421,8606.79027866001,12560.0734238614
"79",2067,6193.41517114526,8942.14516198884,8695.10449027035,12694.3217505819
"80",2068,6240.47541747454,9015.48032793348,8783.4187018807,12828.5700773024
"81",2069,6287.53566380382,9088.81549387811,8871.73291349104,12962.818404023
"82",2070,6334.5959101331,9162.15065982275,8960.04712510139,13097.0667307435
"83",2071,6381.65615646237,9235.48582576738,9048.36133671174,13231.315057464
"84",2072,6428.71640279165,9308.82099171202,9136.67554832208,13365.5633841845
"85",2073,6475.77664912093,9382.15615765665,9224.98975993242,13499.811710905
"86",2074,6522.83689545021,9455.49132360129,9313.30397154277,13634.0600376255
"87",2075,6569.89714177949,9528.82648954592,9401.61818315312,13768.308364346
"88",2076,6616.95738810877,9602.16165549056,9489.93239476346,13902.5566910665
"89",2077,6664.01763443804,9675.49682143519,9578.24660637381,14036.805017787
"90",2078,6711.07788076732,9748.83198737983,9666.56081798415,14171.0533445075
"91",2079,6758.1381270966,9822.16715332446,9754.8750295945,14305.301671228
"92",2080,6805.19837342588,9895.5023192691,9843.18924120484,14439.5499979486
"93",2081,6852.25861975516,9968.83748521373,9931.50345281519,14573.7983246691
"94",2082,6899.31886608444,10042.1726511584,10019.8176644255,14708.0466513896
"95",2083,6946.37911241372,10115.507817103,10108.1318760359,14842.2949781101
"96",2084,6993.43935874299,10188.8429830476,10196.4460876462,14976.5433048306
"97",2085,7040.49960507227,10262.1781489923,10284.7602992566,15110.7916315511
"98",2086,7087.55985140155,10335.5133149369,10373.0745108669,15245.0399582716
"99",2087,7134.62009773083,10408.8484808815,10461.3887224773,15379.2882849921
"100",2088,7181.68034406011,10482.1836468262,10549.7029340876,15513.5366117126
"101",2089,7228.74059038939,10555.5188127708,10638.017145698,15647.7849384331
"102",2090,7275.80083671866,10628.8539787155,10726.3313573083,15782.0332651536
"103",2091,7322.86108304794,10702.1891446601,10814.6455689186,15916.2815918741
"104",2092,7369.92132937722,10775.5243106047,10902.959780529,16050.5299185947
"105",2093,7416.9815757065,10848.8594765494,10991.2739921393,16184.7782453152
"106",2094,7464.04182203578,10922.194642494,11079.5882037497,16319.0265720357
"107",2095,7511.10206836506,10995.5298084386,11167.90241536,16453.2748987562
"108",2096,7558.16231469433,11068.8649743833,11256.2166269704,16587.5232254767
"109",2097,7605.22256102361,11142.2001403279,11344.5308385807,16721.7715521972
"110",2098,7652.28280735289,11215.5353062725,11432.8450501911,16856.0198789177
"111",2099,7699.34305368217,11288.8704722172,11521.1592618014,16990.2682056382
