"","Year","GFDL.q100","GFDL.q500","CCSM.q100","CCSM.q500"
"101",2089,8115.57383823834,11326.6307494927,9646.42208400618,11847.3756863359
"102",2090,8129.13171350611,11347.6382093978,9708.51017655689,11923.7354471712
"103",2091,8142.68958877387,11368.6456693029,9770.59826910761,12000.0952080064
"104",2092,8156.24746404164,11389.6531292081,9832.68636165833,12076.4549688417
"105",2093,8169.80533930941,11410.6605891132,9894.77445420905,12152.8147296769
"106",2094,8183.36321457718,11431.6680490184,9956.86254675976,12229.1744905121
"107",2095,8196.92108984494,11452.6755089235,10018.9506393105,12305.5342513474
"108",2096,8210.47896511271,11473.6829688286,10081.0387318612,12381.8940121826
"109",2097,8224.03684038048,11494.6904287338,10143.1268244119,12458.2537730179
"110",2098,8237.59471564824,11515.6978886389,10205.2149169626,12534.6135338531
"111",2099,8251.15259091601,11536.7053485441,10267.3030095134,12610.9732946883
