"","Year","GFDL.q100","GFDL.q500","CCSM.q100","CCSM.q500"
"51",2039,4867.53315173694,6674.80262979733,4589.24000685869,5382.98628363245
"52",2040,4912.78027103423,6743.44630156964,4646.55864925458,5453.09136855119
"53",2041,4958.02739033151,6812.08997334196,4703.87729165046,5523.19645346992
"54",2042,5003.2745096288,6880.73364511427,4761.19593404635,5593.30153838866
"55",2043,5048.52162892609,6949.37731688658,4818.51457644223,5663.40662330739
"56",2044,5093.76874822337,7018.0209886589,4875.83321883812,5733.51170822613
"57",2045,5139.01586752066,7086.66466043121,4933.151861234,5803.61679314487
"58",2046,5184.26298681795,7155.30833220353,4990.47050362989,5873.7218780636
"59",2047,5229.51010611523,7223.95200397584,5047.78914602578,5943.82696298234
"60",2048,5274.75722541252,7292.59567574815,5105.10778842166,6013.93204790107
"61",2049,5320.00434470981,7361.23934752047,5162.42643081755,6084.03713281981
"62",2050,5365.25146400709,7429.88301929278,5219.74507321343,6154.14221773854
"63",2051,5410.49858330438,7498.52669106509,5277.06371560932,6224.24730265728
"64",2052,5455.74570260167,7567.17036283741,5334.3823580052,6294.35238757602
"65",2053,5500.99282189895,7635.81403460972,5391.70100040109,6364.45747249475
"66",2054,5546.23994119624,7704.45770638204,5449.01964279697,6434.56255741349
"67",2055,5591.48706049353,7773.10137815435,5506.33828519286,6504.66764233222
"68",2056,5636.73417979081,7841.74504992666,5563.65692758874,6574.77272725096
"69",2057,5681.9812990881,7910.38872169898,5620.97556998463,6644.8778121697
"70",2058,5727.22841838539,7979.03239347129,5678.29421238052,6714.98289708843
"71",2059,5772.47553768267,8047.67606524361,5735.6128547764,6785.08798200717
"72",2060,5817.72265697996,8116.31973701592,5792.93149717229,6855.1930669259
"73",2061,5862.96977627725,8184.96340878823,5850.25013956817,6925.29815184464
"74",2062,5908.21689557453,8253.60708056055,5907.56878196406,6995.40323676338
"75",2063,5953.46401487182,8322.25075233286,5964.88742435994,7065.50832168211
"76",2064,5998.71113416911,8390.89442410517,6022.20606675583,7135.61340660085
"77",2065,6043.95825346639,8459.53809587749,6079.52470915171,7205.71849151958
"78",2066,6089.20537276368,8528.1817676498,6136.8433515476,7275.82357643832
"79",2067,6134.45249206097,8596.82543942212,6194.16199394348,7345.92866135706
"80",2068,6179.69961135825,8665.46911119443,6251.48063633937,7416.03374627579
"81",2069,6224.94673065554,8734.11278296674,6308.79927873526,7486.13883119453
"82",2070,6270.19384995283,8802.75645473906,6366.11792113114,7556.24391611326
"83",2071,6315.44096925011,8871.40012651137,6423.43656352703,7626.349001032
"84",2072,6360.6880885474,8940.04379828368,6480.75520592291,7696.45408595074
"85",2073,6405.93520784469,9008.687470056,6538.0738483188,7766.55917086947
"86",2074,6451.18232714197,9077.33114182831,6595.39249071468,7836.66425578821
"87",2075,6496.42944643926,9145.97481360063,6652.71113311057,7906.76934070694
"88",2076,6541.67656573655,9214.61848537294,6710.02977550645,7976.87442562568
"89",2077,6586.92368503383,9283.26215714525,6767.34841790234,8046.97951054441
"90",2078,6632.17080433112,9351.90582891757,6824.66706029823,8117.08459546315
"91",2079,6677.41792362841,9420.54950068988,6881.98570269411,8187.18968038189
"92",2080,6722.66504292569,9489.1931724622,6939.30434509,8257.29476530062
"93",2081,6767.91216222298,9557.83684423451,6996.62298748588,8327.39985021936
"94",2082,6813.15928152027,9626.48051600682,7053.94162988177,8397.50493513809
"95",2083,6858.40640081756,9695.12418777914,7111.26027227765,8467.61002005683
"96",2084,6903.65352011484,9763.76785955145,7168.57891467354,8537.71510497557
"97",2085,6948.90063941213,9832.41153132377,7225.89755706942,8607.8201898943
"98",2086,6994.14775870942,9901.05520309608,7283.21619946531,8677.92527481304
"99",2087,7039.3948780067,9969.69887486839,7340.5348418612,8748.03035973177
"100",2088,7084.64199730399,10038.3425466407,7397.85348425708,8818.13544465051
"101",2089,7129.88911660128,10106.986218413,7455.17212665297,8888.24052956924
"102",2090,7175.13623589856,10175.6298901853,7512.49076904885,8958.34561448798
"103",2091,7220.38335519585,10244.2735619576,7569.80941144474,9028.45069940672
"104",2092,7265.63047449313,10312.91723373,7627.12805384062,9098.55578432545
"105",2093,7310.87759379042,10381.5609055023,7684.44669623651,9168.66086924419
"106",2094,7356.12471308771,10450.2045772746,7741.76533863239,9238.76595416293
"107",2095,7401.371832385,10518.8482490469,7799.08398102828,9308.87103908166
"108",2096,7446.61895168228,10587.4919208192,7856.40262342417,9378.9761240004
"109",2097,7491.86607097957,10656.1355925915,7913.72126582005,9449.08120891913
"110",2098,7537.11319027686,10724.7792643638,7971.03990821594,9519.18629383787
"111",2099,7582.36030957414,10793.4229361362,8028.35855061182,9589.2913787566
